happiness_rank,happiness_score,economy,family,health,freedom,generosity,corruption,dystopia_residual,cellular_subscriptions,surplus_deficit_gdp,inflation_rate,population,target_label,record_name
12,7.0789999962,1.1097062826000001,1.4164036512,0.7595092654000001,0.58013165,0.214613229,0.1001065895,2.8986392020999996,179,-5.2,1.6,4930258,4,Costa Rica
13,7.006000042,1.4870972633000001,1.4599449635,0.8153284192,0.5677661896,0.3164723217,0.2210603654,2.1385064125,170,-1.2,2.2,8754413,4,Austria
14,6.993000030499999,1.546259284,1.4199205637,0.7742866278,0.5057405233,0.3925787807,0.1356387883,2.2181134224,121,-3.4,2.1,326625791,3,United States
15,6.9770002364999995,1.5357066393,1.5582311153,0.8097826242,0.573110342,0.4278583229,0.29838815329999996,1.7738690376,98,-0.6,0.3,5011102,3,Ireland
16,6.9510002136,1.4879233837,1.4725203513999998,0.7989507318000001,0.5625113845,0.33626917,0.27673193809999996,2.0157699585,132,0.7,1.7,80594017,3,Germany
17,6.890999794,1.4637807608000002,1.4623126984,0.8180918694,0.5397707224,0.23150333760000003,0.2513431311,2.1242103577,104,-1.5,2.2,11491346,3,Belgium
18,6.8629999161,1.7419435978,1.4575836658,0.8450894952,0.5966278911,0.2831809819,0.318834424,1.6195120811000001,134,0.5,2.1,594130,3,Luxembourg
19,6.7140002250999995,1.4416339397,1.4964600800999999,0.8053359389,0.5081900358,0.49277415869999996,0.2654280663,1.7041435241999998,121,-3.6,2.7,65648100,3,United Kingdom
20,6.6519999504,1.2527846098,1.2840249538,0.8194797039,0.37689527869999995,0.3266624212,0.0822879821,2.5095858574000003,129,-3.1,2.2,17789267,3,Chile
21,6.6479997635000005,1.6263433694999998,1.2664102315999999,0.7267982364,0.6083452702000001,0.3609419465,0.3244895637,1.7347035408000002,326,-7.6,2.0,6072475,3,United Arab Emirates
22,6.6350002289,1.1073532104000001,1.4313060045,0.6165523529,0.4374537468,0.16234989460000002,0.11109276119999999,2.7692670822000003,114,-1.3,3.4,207353391,3,Brazil
23,6.609000206,1.3526823521,1.4338852166999998,0.7544440031,0.4909461737,0.08810675890000001,0.0368729271,2.4518618584,118,0.4,2.4,10674723,3,Czech Republic
24,6.5989999771,1.1852954626,1.4404511452000002,0.6951370834999999,0.4945192039,0.1094570607,0.059739887699999994,2.6140053272,140,-6.1,25.7,44293293,3,Argentina
25,6.5780000687,1.1531838179,1.2108621597,0.7099789977,0.4127300084,0.12099043279999999,0.13277411460000002,2.8371548652999996,92,-1.9,6.0,124574795,3,Mexico
26,6.5720000267,1.6922776699000002,1.3538143635,0.9494923948999999,0.5498405695,0.34596598149999996,0.464307785,1.2163619995000001,144,1.8,0.6,5888926,3,Singapore
27,6.5269999504,1.3432798386000002,1.488411665,0.8219442368000001,0.5887670517,0.5747305751,0.15306606890000002,1.5568628311000001,135,-0.5,1.3,416338,3,Malta
